Wed Jan 23 23:59:55 +0000 2019,"b""RT @tedlieu: Only 7% support funding Trump's wall if it was the only way to get out of the government shutdown. ** 7% **\n\nDemocrats will NE\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:54 +0000 2019,b'RT @JohnJHarwood: new CBS poll: is Trump\xe2\x80\x99s border wall worth a government  shutdown?\n\nyes 28%\n\nno 71%\n\n https://t.co/2o99qvPoTm',,,I
Wed Jan 23 23:59:53 +0000 2019,"b""RT @RBReich: Let's be very clear: Mitch McConnell and Republicans have essentially sacrificed the U.S. Senate to serve Trump during the shu\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:53 +0000 2019,"b'RT @burgessev: New: Just spoke to Sen. Collins, who said she will vote for the two-week CR tomorrow as well as the president\'s plan. ""The s\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:53 +0000 2019,"b'RT @BernieSanders: We don\xe2\x80\x99t need to create artificial crises like this government shutdown. We have enough real ones. Mr. President, end th\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:53 +0000 2019,b'RT @TravisAllen02: BREAKING: Nancy Pelosi says the State of the Union is CANCELLED until Trump ends the government shutdown.\n\nRetweet and l\xe2\x80\xa6',,,A
Wed Jan 23 23:59:53 +0000 2019,"b""RT @NYMag: Nancy Pelosi reiterated that she will not authorize President Trump's presence on her podium until the federal government is bac\xe2\x80\xa6""",,,A
Wed Jan 23 23:59:53 +0000 2019,"b'RT @ProPublica: The partial government shutdown has become a serious national-security threat, the FBI Agents Association says. Agents have\xe2\x80\xa6'",,,A
Wed Jan 23 23:59:53 +0000 2019,b'RT @SBelle1950: Only 6 Democrats voted for federal employees to get their checks despite shutdown. 6!! It failed because of the Democrats.\xe2\x80\xa6',,,
Wed Jan 23 23:59:52 +0000 2019,"b'President Donald Trump at the White House said the cancellation was a ""disgrace."" #9News\nhttps://t.co/4kmfHQ7u32'",,,
Wed Jan 23 23:59:52 +0000 2019,"b""RT @KamalaHarris: It's completely irresponsible that this president has kept the government closed for over a month. That\xe2\x80\x99s 33 days of anxi\xe2\x80\xa6""",,,I
Wed Jan 23 23:59:52 +0000 2019,b'RT @vwegs: I\xe2\x80\x99m a nonbinary NASA intern. Nothing about my identity makes me any less capable of working in the government.\nThis administrati\xe2\x80\xa6',,,I
Wed Jan 23 23:59:52 +0000 2019,"b'RT @mlcarmel: There are over 2,000 families in Ada County that get help on their rent payments through Section 8. If the government shutdow\xe2\x80\xa6'",,,
Wed Jan 23 23:59:52 +0000 2019,b'RT @ueunion: The president of the Association of Flight Attendants is calling on the labor movement to conduct a \xe2\x80\x9cgeneral strike to end the\xe2\x80\xa6',,,
Wed Jan 23 23:59:52 +0000 2019,b'RT @JuliaKimMedia: 33 minutes of silence for 33 days of the government shutdown. Hundreds of federal workers and supporters gather at Hart\xe2\x80\xa6',,,A
Wed Jan 23 23:59:51 +0000 2019,"b'""The irrational #Republican hatred of governance has given us the most dangerous and incompetent president in Ameri\xe2\x80\xa6 https://t.co/bzfQu65dlw'",,,
Wed Jan 23 23:59:51 +0000 2019,b'The impact can be felt in just about every industry.\nhttps://t.co/9KMn4tCQNj',,,
Wed Jan 23 23:59:51 +0000 2019,b'RT @DisavowTrump20: BREAKING: Nancy Pelosi has blocked Trump\xe2\x80\x99s State of the Union address amid his shutdown of the government. \n\nRETWEET if\xe2\x80\xa6',,,A
Wed Jan 23 23:59:51 +0000 2019,"b'RT @jaketapper: Photos of special challenge coins being distributed among Secret Service personnel and their families, expressing frustrati\xe2\x80\xa6'",,,I
Wed Jan 23 23:59:51 +0000 2019,"b'RT @BernieSanders: We don\xe2\x80\x99t need to create artificial crises like this government shutdown. We have enough real ones. Mr. President, end th\xe2\x80\xa6'",,,I
